car_ID,drivewheel,wheelbase,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,mpg,PRICE
174,fwd,102.4,122,3.31,3.54,8.7,92,4200,63,8948.0
176,fwd,102.4,122,3.31,3.54,8.7,92,4200,59,9988.0
177,fwd,102.4,122,3.31,3.54,8.7,92,4200,59,10898.0
178,fwd,102.4,122,3.31,3.54,8.7,92,4200,59,11248.0
184,fwd,97.3,109,3.19,3.4,9.0,85,5250,61,7975.0
186,fwd,97.3,109,3.19,3.4,9.0,85,5250,61,8195.0
187,fwd,97.3,109,3.19,3.4,9.0,85,5250,61,8495.0
189,fwd,97.3,109,3.19,3.4,10.0,100,5500,58,9995.0
190,fwd,94.5,109,3.19,3.4,8.5,90,5500,53,11595.0
191,fwd,94.5,109,3.19,3.4,8.5,90,5500,53,9980.0
192,fwd,100.4,136,3.19,3.4,8.5,110,5500,43,13295.0
194,fwd,100.4,109,3.19,3.4,9.0,88,5500,56,12290.0
195,rwd,104.3,141,3.78,3.15,9.5,114,5400,51,12940.0
196,rwd,104.3,141,3.78,3.15,9.5,114,5400,51,13415.0
197,rwd,104.3,141,3.78,3.15,9.5,114,5400,52,15985.0
198,rwd,104.3,141,3.78,3.15,9.5,114,5400,52,16515.0
199,rwd,104.3,130,3.62,3.15,7.5,162,5100,39,18420.0
200,rwd,104.3,130,3.62,3.15,7.5,162,5100,39,18950.0
201,rwd,109.1,141,3.78,3.15,9.5,114,5400,51,16845.0
202,rwd,109.1,141,3.78,3.15,8.7,160,5300,44,19045.0
205,rwd,109.1,141,3.78,3.15,9.5,114,5400,44,22625.0
