Player,Pos,Team,Num,Height,Weight,DOB
Samuel Ersson,G,PHI,33,74,176,10/20/99
Luke Evangelista,RW,NAS,77,72,183,2/21/02
Jake Evans,C,MON,71,72,187,6/2/96
Michael Eyssimont,C,TB,23,72,180,9/9/96
Robby Fabbri,C,DET,14,71,185,1/22/96
Dante Fabbro,D,NAS,57,72,189,6/20/98
Brock Faber,D,MIN,7,73,200,8/22/02
Samuel Fagemo,LW,NAS,11,72,200,3/14/00
Radek Faksa,C,DAL,12,75,215,1/9/94
Adam Fantilli,C,CLB,11,74,195,10/12/04
Joel Farabee,LW,PHI,86,72,183,2/25/00
Hudson Fasching,RW,NYI,20,75,209,7/28/95
Jesper Fast,RW,CAR,71,73,191,12/2/91
Justin Faulk,D,STL,72,72,214,3/20/92
Martin Fehervary,D,WAS,42,74,199,10/6/99
Mario Ferraro,D,SJ,38,72,209,9/17/98
Kevin Fiala,LW,LA,22,70,204,7/22/96
Christian Fischer,RW,DET,36,74,212,4/15/97
Haydn Fleury,D,TB,7,76,208,7/8/96
Marc-Andre Fleury,G,MIN,29,74,185,11/28/84
Warren Foegele,LW,EDM,37,74,204,4/1/96
Tyson Foerster,RW,PHI,71,74,194,1/18/02
Marcus Foligno,LW,MIN,17,75,226,8/10/91
Nick Foligno,LW,CHI,17,72,210,10/31/87
Derek Forbort,D,BOS,28,76,208,3/4/92
Anton Forsberg,G,OTT,31,75,193,11/27/92
Filip Forsberg,LW,NAS,9,73,205,8/13/94
Gustav Forsling,D,FLA,42,72,195,6/12/96
Liam Foudy,RW,CLB,19,74,188,2/4/00
Cam Fowler,D,ANA,4,73,215,12/5/91
Adam Fox,D,NYR,23,71,185,2/17/98
Pavel Francouz,G,COL,39,72,179,6/3/90
Trent Frederic,C,BOS,11,75,214,2/11/98
Mark Friedman,D,VAN,52,71,185,12/25/95
Morgan Frost,C,PHI,48,71,170,5/14/99
Brendan Gallagher,RW,MON,11,69,183,5/6/92
Conor Garland,RW,VAN,8,70,165,3/11/96
Frederick Gaudreau,C,MIN,89,72,184,5/1/93
Johnny Gaudreau,LW,CLB,13,69,165,8/13/93
Julien Gauthier,RW,NYI,16,76,226,10/15/97
Vladislav Gavrikov,D,LA,84,75,221,11/21/95
Morgan Geekie,C,BOS,39,75,200,7/20/98
Alexandar Georgiev,G,COL,40,73,178,2/10/96
John Gibson,G,ANA,36,75,210,7/14/93
Dennis Gilbert,D,CAL,48,74,216,10/30/96
Mark Giordano,D,TOR,55,73,202,10/3/83
Samuel Girard,D,COL,49,70,170,5/12/98
Zemgus Girgensons,LW,BUF,28,74,200,1/5/94
Claude Giroux,RW,OTT,28,71,190,1/12/88
Cody Glass,C,NAS,8,75,206,4/1/99
Luke Glendening,C,TB,11,71,190,4/28/89
Ty Glover,C,VAN,51,75,200,10/1/00
Alex Goligoski,D,MIN,33,71,173,7/30/85
Barclay Goodrow,RW,NYR,21,74,209,2/26/93
Shayne Gostisbehere,D,DET,41,71,180,4/20/93
Yanni Gourde,C,SEA,37,69,174,12/15/91
Mikael Granlund,RW,SJ,64,70,185,2/26/92
Ryan Graves,D,PIT,27,77,220,5/21/95
Jordan Greenway,LW,BUF,12,78,231,2/16/97
A.J. Greer,LW,CAL,18,75,208,12/14/96
Noah Gregor,C,TOR,18,72,190,7/28/98
Ridly Greig,C,OTT,71,72,183,8/8/02
Bo Groulx,C,ANA,24,74,198,2/6/00
Philipp Grubauer,G,SEA,31,73,188,11/25/91
Carl Grundstrom,RW,LA,91,72,195,12/1/97
Matt Grzelcyk,D,BOS,48,70,176,1/5/94
Radko Gudas,D,ANA,7,72,208,6/5/90
Erik Gudbranson,D,CLB,44,77,222,1/7/92
Jake Guentzel,LW,PIT,59,71,180,10/6/94
Kaiden Guhle,D,MON,21,74,201,1/18/02
David Gustafsson,C,WIN,19,74,212,4/11/00
Erik Gustafsson,D,NYR,56,72,189,3/14/92
Filip Gustavsson,G,MIN,32,74,184,6/7/98
Cole Guttman,C,CHI,70,69,167,4/6/99
Brandon Hagel,LW,TB,38,74,183,8/27/98
Nicolas Hague,D,VEG,14,78,240,12/5/98
Jani Hakanpaa,D,DAL,2,78,222,3/31/92
Taylor Hall,LW,CHI,71,73,210,11/14/91
Dougie Hamilton,D,NJ,7,78,230,6/17/93
Travis Hamonic,D,OTT,23,73,200,8/16/90
Noah Hanifin,D,CAL,55,75,207,1/25/97
Joel Hanley,D,DAL,44,71,186,6/8/91
Thomas Harley,D,DAL,55,75,206,8/19/01
Jordan Harris,D,MON,54,71,189,7/7/00
Carter Hart,G,PHI,79,74,181,8/13/98
Ryan Hartman,RW,MIN,38,72,197,9/20/94
Rafael Harvey-Pinard,LW,MON,49,69,184,1/6/99
Garnet Hathaway,RW,PHI,19,75,208,11/23/91
Erik Haula,LW,NJ,56,71,191,3/23/91
Kevin Hayes,RW,STL,12,77,216,5/8/92
Barrett Hayton,C,ARI,29,73,207,6/9/00
Victor Hedman,D,TB,77,79,244,12/18/90
Ville Heinola,D,WIN,14,71,185,3/2/01
Miro Heiskanen,D,DAL,4,73,197,7/18/99
Connor Hellebuyck,G,WIN,37,76,216,5/19/93
Adam Henrique,C,ANA,14,72,195,2/6/90
Tomas Hertl,C,SJ,48,75,215,11/12/93
Adin Hill,G,VEG,33,76,215,5/11/96
Roope Hintz,LW,DAL,24,75,212,11/17/96
Nico Hischier,C,NJ,13,73,175,1/4/99
Joel Hofer,G,STL,30,77,179,7/30/00
Mike Hoffman,LW,SJ,68,72,190,11/24/89
Nils Hoglander,LW,VAN,21,69,185,12/20/00
Justin Holl,D,DET,3,75,197,1/30/92
Dylan Holloway,LW,EDM,55,73,206,9/23/01
Simon Holmstrom,RW,NYI,10,74,215,5/24/01
Alexander Holtz,RW,NJ,10,72,195,1/23/02
Bo Horvat,C,NYI,14,72,213,4/5/95
Brett Howden,C,VEG,21,74,200,3/29/98
Filip Hronek,D,VAN,17,72,190,11/2/97
Jonathan Huberdeau,LW,CAL,10,73,200,6/4/93
Jack Hughes,C,NJ,86,71,175,5/14/01
Luke Hughes,D,NJ,43,74,184,9/9/03
Quinn Hughes,D,VAN,43,70,180,10/14/99
Dryden Hunt,LW,CAL,15,72,193,11/24/95
Ville Husso,G,DET,35,75,200,2/6/95
Ben Hutton,D,VEG,17,75,201,4/20/93
Zach Hyman,LW,EDM,18,73,206,6/9/92
Alex Iafallo,LW,WIN,9,72,200,12/21/93
Connor Ingram,G,ARI,39,74,196,3/31/97
Mattias Janmark,C,EDM,13,73,205,12/8/92
Calle Jarnkrok,C,TOR,19,72,190,9/25/91
Tristan Jarry,G,PIT,35,74,194,4/29/95
Seth Jarvis,C,CAR,24,70,175,2/1/02
Tanner Jeannot,LW,TB,84,74,208,5/29/97
Boone Jenner,C,CLB,38,74,203,6/15/93
Nick Jensen,D,WAS,3,73,205,9/21/90
David Jiricek,D,CLB,55,76,199,11/28/03
Lucas Johansen,D,WAS,46,74,176,11/16/97
Ryan Johansen,C,COL,12,75,218,7/31/92
Jonas Johansson,G,TB,31,77,220,9/19/95
Marcus Johansson,LW,MIN,90,73,203,10/6/90
Erik Johnson,D,BUF,6,76,225,3/21/88
Jack Johnson,D,COL,3,73,227,1/13/87
Kent Johnson,C,CLB,91,72,175,10/18/02
Reese Johnson,C,CHI,52,73,193,7/10/98
Tyler Johnson,C,CHI,90,68,185,7/29/90
Ross Johnston,LW,ANA,44,77,234,2/18/94
Wyatt Johnston,C,DAL,53,73,184,5/14/03
Henri Jokiharju,D,BUF,10,72,200,6/17/99
Max Jones,LW,ANA,49,75,216,2/17/98
Seth Jones,D,CHI,4,76,213,10/3/94
Zac Jones,D,NYR,6,70,176,10/18/00
Mathieu Joseph,RW,OTT,21,73,187,2/9/97
Pierre-Olivier Joseph,D,PIT,73,74,185,7/1/99
Dakota Joshua,C,VAN,81,75,206,5/15/96
Roman Josi,D,NAS,59,73,201,6/1/90
Tyson Jost,C,BUF,17,71,187,3/14/98
Noah Juulsen,D,VAN,47,74,201,4/2/97
Nazem Kadri,C,CAL,91,72,185,10/6/90
Kaapo Kahkonen,G,SJ,36,74,217,8/16/96
Wyatt Kaiser,D,CHI,44,72,173,7/31/02
Kaapo Kakko,RW,NYR,24,74,205,2/13/01
Arthur Kaliyev,RW,LA,34,74,210,6/26/01
David Kampf,C,TOR,64,74,190,1/12/95
Evander Kane,LW,EDM,91,74,218,8/2/91
Kasperi Kapanen,RW,STL,42,73,194,7/23/96
Kirill Kaprizov,LW,MIN,97,70,202,4/26/97
Erik Karlsson,D,PIT,65,72,190,5/31/90
William Karlsson,C,VEG,71,72,190,1/8/93
Tye Kartye,LW,SEA,52,71,202,4/30/01
Mark Kastelic,C,OTT,12,75,233,3/11/99
Boris Katchouk,LW,CHI,14,74,206,6/18/98
Clayton Keller,RW,ARI,9,70,178,7/29/98
Parker Kelly,LW,OTT,27,72,190,5/14/99
Adrian Kempe,RW,LA,9,74,200,9/13/96
Alex Kerfoot,C,ARI,15,71,186,8/11/94
Alex Killorn,LW,ANA,17,73,194,9/14/89
John Klingberg,D,TOR,3,74,185,8/14/92
Matthew Knies,LW,TOR,23,75,217,10/17/02
Nikolai Knyzhov,D,SJ,71,75,222,3/20/98
Pyotr Kochetkov,G,CAR,52,75,205,6/25/99
Keegan Kolesar,RW,VEG,55,74,216,4/8/97
Travis Konecny,RW,PHI,11,70,175,3/11/97
Anze Kopitar,C,LA,11,75,225,8/24/87
Kevin Korchinski,D,CHI,55,73,185,6/21/04
Kaedan Korczak,D,VEG,6,75,201,1/29/01
Joonas Korpisalo,G,OTT,70,75,193,4/28/94
Klim Kostin,C,DET,24,75,215,5/5/99
Jesperi Kotkaniemi,C,CAR,82,74,201,7/6/00
Johnathan Kovacevic,D,MON,26,76,223,7/12/97
Peyton Krebs,C,BUF,19,72,187,1/26/01
Chris Kreider,LW,NYR,20,75,233,4/30/91
Torey Krug,D,STL,47,69,194,4/12/91
Dominik Kubalik,LW,OTT,81,74,190,8/21/95
Nikita Kucherov,RW,TB,86,71,181,6/17/93
Darcy Kuemper,G,WAS,35,77,215,5/5/90
Brett Kulak,D,EDM,27,73,192,1/6/94
Dmitry Kulikov,D,FLA,7,73,201,10/29/90
Luke Kunin,C,SJ,11,72,197,12/4/97
Rasmus Kupari,C,WIN,15,74,200,3/15/00
Sean Kuraly,C,CLB,7,74,213,1/20/93
Philipp Kurashev,C,CHI,23,72,190,10/12/99
Andrei Kuzmenko,LW,VAN,96,71,194,2/4/96
Evgeny Kuznetsov,C,WAS,92,74,207,5/19/92
Oliver Kylington,D,CAL,58,72,183,5/19/97
Jordan Kyrou,C,STL,25,73,196,5/5/98
Kevin Labanc,RW,SJ,62,71,185,12/12/95
Jackson LaCombe,D,ANA,60,74,205,1/9/01
Alex Laferriere,RW,LA,78,72,173,10/28/01
Sam Lafferty,RW,VAN,18,74,205,3/6/95
Alexis Lafreniere,LW,NYR,13,73,194,10/11/01
Patrik Laine,LW,CLB,29,77,205,4/19/98
Gabriel Landeskog,LW,COL,92,73,215,11/23/92
Kevin Lankinen,G,NAS,32,74,190,4/28/95
Dylan Larkin,C,DET,71,73,198,7/30/96
Adam Larsson,D,SEA,6,75,209,11/12/92
Scott Laughton,C,PHI,21,73,190,5/30/94
Jakub Lauko,C,BOS,94,72,196,3/28/00
Jeremy Lauzon,D,NAS,3,73,204,4/28/97
Curtis Lazar,C,NJ,42,72,203,2/2/95
Brett Leason,RW,ANA,20,77,218,4/30/99
Nick Leddy,D,STL,4,72,205,3/20/91
Anders Lee,LW,NYI,27,75,227,7/3/90
Artturi Lehkonen,LW,COL,62,71,179,7/4/95
Robin Lehner,G,VEG,90,76,250,7/24/91
Brendan Lemieux,LW,CAR,28,73,215,3/15/96
Kris Letang,D,PIT,58,72,201,4/24/87
Devon Levi,G,BUF,27,72,184,12/27/01
Trevor Lewis,C,LA,61,73,201,1/8/87
Timothy Liljegren,D,TOR,37,73,190,4/30/99
Esa Lindell,D,DAL,23,75,216,5/23/94
Charlie Lindgren,G,WAS,79,74,179,12/18/93
Ryan Lindgren,D,NYR,55,72,193,2/11/98
Elias Lindholm,C,CAL,28,73,202,12/2/94
Hampus Lindholm,D,BOS,27,76,215,1/20/94
Bryan Little,C,ARI,-,72,191,11/12/87
Blake Lizotte,C,LA,46,69,170,12/13/97
William Lockwood,RW,FLA,67,71,178,6/20/98
Ryan Lomberg,LW,FLA,94,69,184,12/9/94
Steven Lorentz,C,FLA,18,76,216,4/13/96
Adam Lowry,LW,WIN,17,78,208,3/29/93
Milan Lucic,LW,BOS,17,75,240,6/7/88
John Ludvig,D,PIT,53,73,213,8/2/00
Matt Luff,RW,DET,22,74,196,5/5/97
Anton Lundell,C,FLA,15,73,190,10/3/01
Isac Lundestrom,C,ANA,21,72,193,11/6/99
Nils Lundkvist,D,DAL,5,71,190,7/27/00
Tristan Luneau,D,ANA,67,74,175,1/12/04
Eetu Luostarinen,C,FLA,27,75,190,9/2/98
Ukko-Pekka Luukkonen,G,BUF,1,77,217,3/9/99
Alex Lyon,G,DET,34,73,201,12/9/92
Ilya Lyubushkin,D,ANA,46,73,200,4/6/94
Olli Maatta,D,DET,2,74,207,8/22/94
Matias Maccelli,LW,ARI,63,71,176,10/14/00
Kurtis MacDermid,D,COL,56,77,233,3/25/94
Jacob MacDonald,D,SJ,9,72,204,2/26/93
Nathan MacKinnon,C,COL,29,72,200,9/1/95
Josh Mahura,D,FLA,28,72,193,5/5/98
Cale Makar,D,COL,8,71,187,10/30/98
Beck Malenstyn,LW,WAS,47,75,200,2/4/98
Evgeni Malkin,C,PIT,71,75,195,7/31/86
Andrew Mangiapane,LW,CAL,88,70,184,4/4/96
Josh Manson,D,COL,42,75,218,10/7/91
Anthony Mantha,RW,WAS,39,77,234,9/16/94
Brad Marchand,LW,BOS,63,69,176,5/11/88
Kirill Marchenko,RW,CLB,86,75,197,7/21/00
Jonathan Marchessault,RW,VEG,81,69,185,12/27/90
Mason Marchment,LW,DAL,27,76,216,6/18/95
John Marino,D,NJ,6,73,181,5/21/97
Jacob Markstrom,G,CAL,25,78,207,1/31/90
Mitchell Marner,RW,TOR,16,72,180,5/5/97
Pat Maroon,LW,MIN,20,75,234,4/23/88
Matt Martin,LW,NYI,17,75,215,5/8/89
Spencer Martin,G,CLB,30,75,191,6/8/95
Alec Martinez,D,VEG,23,73,210,7/26/87
Jordan Martinook,LW,CAR,48,72,196,7/25/92
Mike Matheson,D,MON,8,74,196,2/27/94
Auston Matthews,C,TOR,34,75,215,9/17/97
Scott Mayfield,D,NYI,24,77,220,10/14/92
Charlie McAvoy,D,BOS,73,73,209,12/21/97
Jack McBain,C,ARI,22,75,201,1/6/00
Jake McCabe,D,TOR,22,73,211,10/12/93
Jared McCann,LW,SEA,19,73,191,5/31/96
Michael McCarron,RW,NAS,47,78,232,3/7/95
Connor McDavid,C,EDM,97,73,194,1/13/97
Ryan McDonagh,D,NAS,27,73,215,6/13/89
Brock McGinn,LW,ANA,26,72,187,2/2/94
Michael McLeod,C,NJ,20,74,190,2/3/98
Ryan McLeod,C,EDM,71,74,188,9/21/99
Connor McMichael,C,WAS,24,72,180,1/15/01
Brayden McNabb,D,VEG,3,76,215,1/21/91
Mason McTavish,C,ANA,23,72,213,1/30/03
Jaycob Megna,D,SEA,44,78,220,12/10/92
Timo Meier,RW,NJ,28,73,220,10/8/96
Dawson Mercer,C,NJ,91,72,180,10/27/01
Waltteri Merela,C,TB,39,74,196,7/6/98
Dakota Mermis,D,MIN,6,72,195,1/5/94
Jon Merrill,D,MIN,4,75,204,2/3/92
Elvis Merzlikins,G,CLB,90,75,183,4/13/94
Jake Middleton,D,MIN,5,75,219,1/2/96
Ilya Mikheyev,RW,VAN,65,74,192,10/10/94
Niko Mikkola,D,FLA,77,76,206,4/27/96
Sonny Milano,LW,WAS,15,72,194,5/12/96
Colin Miller,D,NJ,24,73,200,10/29/92
J.T. Miller,C,VAN,9,73,218,3/14/93
K'Andre Miller,D,NYR,79,77,210,1/21/00
Fraser Minten,C,TOR,39,74,192,7/5/04
Pavel Mintyukov,D,ANA,34,74,195,11/25/03
Ian Mitchell,D,BOS,14,71,193,1/18/99
Casey Mittelstadt,C,BUF,37,73,195,11/22/98
Sean Monahan,C,MON,91,74,202,10/12/94
Sam Montembeault,G,MON,35,75,222,10/30/96
Brandon Montour,D,FLA,62,72,199,4/11/94
Trevor Moore,LW,LA,12,70,195,3/31/95
Josh Morrissey,D,WIN,44,72,185,3/28/95
J.J. Moser,D,ARI,90,73,173,6/6/00
Tyler Motte,C,TB,64,70,192,3/10/95
Petr Mrazek,G,CHI,34,74,188,2/14/92
Connor Murphy,D,CHI,5,76,212,3/26/93
Matt Murray,G,TOR,30,76,203,5/25/94
Jake Muzzin,D,TOR,8,75,227,2/21/89
Tyler Myers,D,VAN,57,80,229,2/1/90
Vladislav Namestnikov,C,WIN,7,72,179,11/22/92
Martin Necas,RW,CAR,88,74,189,1/15/99
Alex Nedeljkovic,G,PIT,39,72,208,1/7/96
Jake Neighbours,LW,STL,63,72,201,3/29/02
Brock Nelson,C,NYI,29,76,210,10/15/91
Alex Newhook,C,MON,15,70,199,1/28/01
Valeri Nichushkin,RW,COL,13,76,210,3/4/95
Nino Niederreiter,RW,WIN,62,74,218,9/8/92
Matt Nieto,LW,PIT,83,71,187,11/5/92
Stefan Noesen,RW,CAR,23,73,205,2/12/93
Josh Norris,C,OTT,9,74,195,5/5/99
Tomas Nosek,LW,NJ,92,75,205,9/1/92
Tommy Novak,C,NAS,82,73,179,4/28/97
