Player,Pos,Team,Num,Height,Weight,DOB
Robert Bortuzzo,D,STL,41,1.9304000000000001,97.975872,3/18/89
Evan Bouchard,D,EDM,2,1.9050000000000002,87.089664,10/20/99
Travis Boyd,C,ARI,72,1.8288000000000002,86.18248,9/14/93
Erik Brannstrom,D,OTT,26,1.778,83.91452,9/2/99
Jesper Bratt,LW,NJ,63,1.778,79.3786,7/30/98
Bobby Brink,RW,PHI,10,1.7272,75.296272,7/8/01
Guillaume Brisebois,D,VAN,55,1.8796000000000002,79.3786,7/21/97
Philip Broberg,D,EDM,86,1.9050000000000002,96.161504,6/25/01
TJ Brodie,D,TOR,78,1.8796000000000002,84.821704,6/7/90
Jonas Brodin,D,MIN,25,1.8796000000000002,88.904032,7/12/93
Laurent Brossoit,G,WIN,39,1.9050000000000002,97.52228,3/23/93
Connor Brown,RW,EDM,28,1.8288000000000002,83.460928,1/14/94
Josh Brown,D,ARI,3,1.9558000000000002,99.79024,1/21/94
Logan Brown,C,TB,22,1.9812000000000003,98.883056,3/5/98
Patrick Brown,C,BOS,38,1.8542000000000003,95.25431999999999,5/29/92
Jacob Bryson,D,BUF,78,1.7526,79.83219199999999,11/18/97
Pavel Buchnevich,LW,STL,89,1.8542000000000003,88.904032,4/17/95
Michael Bunting,LW,CAR,58,1.8288000000000002,87.089664,9/17/95
Andre Burakovsky,LW,SEA,95,1.9050000000000002,94.80072799999999,2/9/95
Brent Burns,D,CAR,8,1.9558000000000002,104.32616,3/9/85
Kyle Burroughs,D,SJ,4,1.8288000000000002,87.543256,7/12/95
Quinton Byfield,C,LA,55,1.9558000000000002,99.79024,8/19/02
Bowen Byram,D,COL,4,1.8542000000000003,86.18248,6/13/01
Jack Campbell,G,EDM,36,1.9050000000000002,90.7184,1/9/92
Michael Carcone,LW,ARI,53,1.7526,77.11064,5/19/96
Brandon Carlo,D,BOS,25,1.9812000000000003,98.883056,11/26/96
John Carlson,D,WAS,74,1.9050000000000002,97.52228,1/10/90
Leo Carlsson,C,ANA,91,1.9050000000000002,87.996848,12/26/04
Ryan Carpenter,C,SJ,40,1.8542000000000003,89.811216,1/18/91
Sam Carrick,C,ANA,39,1.8288000000000002,90.7184,2/4/92
Alexandre Carrier,D,NAS,45,1.8034,78.925008,10/8/96
William Carrier,LW,VEG,28,1.8796000000000002,99.79024,12/20/94
Jeff Carter,RW,PIT,77,1.9050000000000002,99.336648,1/1/85
Noah Cates,LW,PHI,27,1.8542000000000003,74.84268,2/5/99
Cole Caufield,RW,MON,22,1.7018,79.3786,1/2/01
Cody Ceci,D,EDM,5,1.8796000000000002,95.25431999999999,12/21/93
Erik Cernak,D,TB,81,1.9304000000000001,104.32616,5/28/97
Thomas Chabot,D,OTT,72,1.8796000000000002,88.45044,1/30/97
Rourke Chartier,C,OTT,49,1.8034,86.18248,4/3/96
Jalen Chatfield,D,CAR,5,1.8542000000000003,85.275296,5/15/96
Ben Chiarot,D,DET,8,1.9050000000000002,105.233344,5/9/91
Declan Chisholm,D,WIN,47,1.8542000000000003,87.996848,1/12/00
Jakob Chychrun,D,OTT,6,1.8796000000000002,99.79024,3/31/98
Filip Chytil,C,NYR,72,1.8796000000000002,94.347136,9/5/99
Anthony Cirelli,C,TB,71,1.8288000000000002,85.728888,7/15/97
Casey Cizikas,C,NYI,53,1.8034,87.996848,2/27/91
Connor Clifton,D,BUF,75,1.8034,86.18248,4/28/95
Cal Clutterbuck,RW,NYI,15,1.8288000000000002,97.52228,11/18/87
Dylan Coghlan,D,CAR,15,1.8796000000000002,94.347136,2/19/98
Andrew Cogliano,C,COL,11,1.778,81.192968,6/14/87
Ian Cole,D,VAN,82,1.8542000000000003,102.0582,2/21/89
Blake Coleman,C,CAL,20,1.8034,90.264808,11/28/91
Ross Colton,C,COL,20,1.8288000000000002,87.996848,9/11/96
J.T. Compher,LW,DET,37,1.8288000000000002,86.18248,4/8/95
Eric Comrie,G,BUF,31,1.8542000000000003,83.007336,7/6/95
Kyle Connor,LW,WIN,81,1.8796000000000002,81.192968,12/9/96
Logan Cooley,C,ARI,92,1.778,78.925008,5/4/04
Pheonix Copley,G,LA,29,1.9304000000000001,90.7184,1/18/92
Andrew Copp,C,DET,18,1.8542000000000003,90.264808,7/8/94
Matt Coronato,RW,CAL,27,1.778,83.007336,11/14/02
Paul Cotter,C,VEG,43,1.8796000000000002,96.615096,11/16/99
Nick Cousins,C,FLA,21,1.8034,84.368112,7/20/93
Logan Couture,C,SJ,39,1.8542000000000003,93.439952,3/28/89
Sean Couturier,C,PHI,14,1.9050000000000002,95.707912,12/7/92
Charlie Coyle,C,BOS,13,1.9050000000000002,101.151016,3/2/92
Dylan Cozens,C,BUF,24,1.9050000000000002,88.45044,2/9/01
Sidney Crosby,C,PIT,87,1.8034,90.7184,8/7/87
Lawson Crouse,LW,ARI,67,1.9304000000000001,97.52228,6/23/97
Will Cuylle,LW,NYR,50,1.9050000000000002,95.25431999999999,2/5/02
Austin Czarnik,C,DET,21,1.7526,77.11064,12/12/92
Joey Daccord,G,SEA,35,1.8796000000000002,91.171992,8/19/96
Kirby Dach,C,MON,77,1.9304000000000001,98.429464,1/21/01
Evgenii Dadonov,RW,DAL,63,1.8034,83.91452,3/12/89
Rasmus Dahlin,D,BUF,26,1.9050000000000002,91.625584,4/13/00
Phillip Danault,LW,LA,24,1.8542000000000003,90.7184,2/24/93
Justin Danforth,RW,CLB,17,1.7526,86.18248,3/15/93
Calvin de Haan,D,TB,44,1.8542000000000003,87.089664,5/9/91
Tony DeAngelo,D,CAR,77,1.8034,81.64656,10/24/95
Alex DeBrincat,RW,DET,93,1.7272,80.739376,12/18/97
Jake DeBrusk,LW,BOS,74,1.8288000000000002,89.357624,10/17/96
Ty Dellandrea,C,DAL,10,1.8542000000000003,86.18248,7/21/00
Dylan Demelo,D,WIN,2,1.8288000000000002,88.45044,5/1/93
Thatcher Demko,G,VAN,35,1.9304000000000001,87.089664,12/8/95
Travis Dermott,D,ARI,33,1.8288000000000002,91.625584,12/22/96
Vincent Desharnais,D,EDM,73,1.9812000000000003,102.511792,5/29/96
Nicolas Deslauriers,LW,PHI,44,1.8542000000000003,99.79024,2/22/91
Casey DeSmith,G,VAN,29,1.8288000000000002,82.100152,8/13/91
Connor Dewar,C,MIN,26,1.778,83.007336,6/26/99
Phillip Di Giuseppe,LW,VAN,34,1.8288000000000002,87.543256,10/9/93
Jason Dickinson,C,CHI,16,1.8796000000000002,90.7184,7/4/95
Brenden Dillon,D,WIN,5,1.9304000000000001,101.604608,11/13/90
Noah Dobson,D,NYI,8,1.9304000000000001,90.7184,1/7/00
Max Domi,C,TOR,11,1.778,94.347136,3/2/95
Ryan Donato,LW,CHI,8,1.8288000000000002,86.18248,4/9/96
Pavel Dorofeyev,LW,VEG,16,1.8542000000000003,87.996848,10/26/00
Lukas Dostal,G,ANA,1,1.8796000000000002,78.925008,6/22/00
Drew Doughty,D,LA,8,1.8542000000000003,95.25431999999999,12/8/89
Nic Dowd,C,WAS,26,1.8542000000000003,87.543256,5/27/90
Leon Draisaitl,C,EDM,29,1.8796000000000002,94.80072799999999,10/27/95
Jonathan Drouin,LW,COL,27,1.8034,89.811216,3/28/95
Jack Drury,C,CAR,18,1.8034,78.925008,2/3/00
Jamie Drysdale,D,ANA,6,1.8034,83.007336,4/8/02
Dillon Dube,LW,CAL,29,1.8034,83.91452,7/20/98
Pierre-Luc Dubois,LW,LA,80,1.9304000000000001,97.068688,6/24/98
Matt Duchene,C,DAL,95,1.8034,95.25431999999999,1/16/91
Anthony Duclair,LW,SJ,10,1.8034,89.357624,8/26/95
Walker Duehr,RW,CAL,71,1.8796000000000002,95.25431999999999,11/23/97
Brandon Duhaime,RW,MIN,21,1.8796000000000002,90.7184,5/22/97
Matt Dumba,D,ARI,24,1.8288000000000002,82.100152,7/25/94
Brian Dumoulin,D,SEA,8,1.9304000000000001,93.893544,9/6/91
Vince Dunn,D,SEA,29,1.8288000000000002,90.7184,10/29/96
Sean Durzi,D,ARI,50,1.8288000000000002,88.45044,10/21/98
Christian Dvorak,C,MON,28,1.8542000000000003,87.089664,2/2/96
Jordan Eberle,RW,SEA,7,1.8034,86.18248,5/15/90
Joel Edmundson,D,WAS,6,1.9558000000000002,100.243832,6/28/93
Nikolaj Ehlers,LW,WIN,27,1.8288000000000002,76.657048,2/14/96
Jack Eichel,C,VEG,9,1.8796000000000002,92.079176,10/28/96
Aaron Ekblad,D,FLA,5,1.9304000000000001,97.52228,2/7/96
Mattias Ekholm,D,EDM,14,1.9304000000000001,102.0582,5/24/90
William Eklund,LW,SJ,72,1.8034,82.100152,10/12/02
Oliver Ekman-Larsson,D,FLA,91,1.8796000000000002,86.636072,7/17/91
Lars Eller,C,PIT,20,1.8796000000000002,92.98636,5/8/89
Ryan Ellis,D,PHI,94,1.778,81.64656,1/3/91
Ty Emberson,D,SJ,6,1.8542000000000003,87.543256,5/23/00
Andreas Englund,D,LA,5,1.9050000000000002,85.728888,1/21/96
Pierre Engvall,LW,NYI,18,1.9558000000000002,97.52228,5/31/96
Mackenzie Entwistle,RW,CHI,58,1.9050000000000002,83.460928,7/14/99
Joel Eriksson Ek,C,MIN,14,1.9050000000000002,93.893544,1/29/97
Adam Erne,LW,EDM,21,1.8542000000000003,96.161504,4/20/95
Samuel Ersson,G,PHI,33,1.8796000000000002,79.83219199999999,10/20/99
Luke Evangelista,RW,NAS,77,1.8288000000000002,83.007336,2/21/02
Jake Evans,C,MON,71,1.8288000000000002,84.821704,6/2/96
Michael Eyssimont,C,TB,23,1.8288000000000002,81.64656,9/9/96
Robby Fabbri,C,DET,14,1.8034,83.91452,1/22/96
Dante Fabbro,D,NAS,57,1.8288000000000002,85.728888,6/20/98
Brock Faber,D,MIN,7,1.8542000000000003,90.7184,8/22/02
Samuel Fagemo,LW,NAS,11,1.8288000000000002,90.7184,3/14/00
Radek Faksa,C,DAL,12,1.9050000000000002,97.52228,1/9/94
Adam Fantilli,C,CLB,11,1.8796000000000002,88.45044,10/12/04
Joel Farabee,LW,PHI,86,1.8288000000000002,83.007336,2/25/00
Hudson Fasching,RW,NYI,20,1.9050000000000002,94.80072799999999,7/28/95
Jesper Fast,RW,CAR,71,1.8542000000000003,86.636072,12/2/91
Justin Faulk,D,STL,72,1.8288000000000002,97.068688,3/20/92
Martin Fehervary,D,WAS,42,1.8796000000000002,90.264808,10/6/99
Mario Ferraro,D,SJ,38,1.8288000000000002,94.80072799999999,9/17/98
Kevin Fiala,LW,LA,22,1.778,92.532768,7/22/96
Christian Fischer,RW,DET,36,1.8796000000000002,96.161504,4/15/97
Haydn Fleury,D,TB,7,1.9304000000000001,94.347136,7/8/96
Marc-Andre Fleury,G,MIN,29,1.8796000000000002,83.91452,11/28/84
Warren Foegele,LW,EDM,37,1.8796000000000002,92.532768,4/1/96
Tyson Foerster,RW,PHI,71,1.8796000000000002,87.996848,1/18/02
Marcus Foligno,LW,MIN,17,1.9050000000000002,102.511792,8/10/91
Nick Foligno,LW,CHI,17,1.8288000000000002,95.25431999999999,10/31/87
Cal Foote,D,NJ,52,1.9558000000000002,101.604608,12/13/98
Derek Forbort,D,BOS,28,1.9304000000000001,94.347136,3/4/92
Anton Forsberg,G,OTT,31,1.9050000000000002,87.543256,11/27/92
Filip Forsberg,LW,NAS,9,1.8542000000000003,92.98636,8/13/94
Gustav Forsling,D,FLA,42,1.8288000000000002,88.45044,6/12/96
Liam Foudy,C,NAS,18,1.8796000000000002,85.275296,2/4/00
Cam Fowler,D,ANA,4,1.8542000000000003,97.52228,12/5/91
Adam Fox,D,NYR,23,1.8034,83.91452,2/17/98
Pavel Francouz,G,COL,39,1.8288000000000002,81.192968,6/3/90
Trent Frederic,C,BOS,11,1.9050000000000002,97.068688,2/11/98
Mark Friedman,D,VAN,51,1.8034,83.91452,12/25/95
Morgan Frost,C,PHI,48,1.8034,77.11064,5/14/99
Brendan Gallagher,RW,MON,11,1.7526,83.007336,5/6/92
Conor Garland,RW,VAN,8,1.778,74.84268,3/11/96
Frederick Gaudreau,C,MIN,89,1.8288000000000002,83.460928,5/1/93
Johnny Gaudreau,LW,CLB,13,1.7526,74.84268,8/13/93
Julien Gauthier,RW,NYI,16,1.9304000000000001,102.511792,10/15/97
Vladislav Gavrikov,D,LA,84,1.9050000000000002,100.243832,11/21/95
Morgan Geekie,C,BOS,39,1.9050000000000002,90.7184,7/20/98
Alexandar Georgiev,G,COL,40,1.8542000000000003,80.739376,2/10/96
John Gibson,G,ANA,36,1.9050000000000002,95.25431999999999,7/14/93
Dennis Gilbert,D,CAL,48,1.8796000000000002,97.975872,10/30/96
Mark Giordano,D,TOR,55,1.8542000000000003,91.625584,10/3/83
Samuel Girard,D,COL,49,1.778,77.11064,5/12/98
Zemgus Girgensons,LW,BUF,28,1.8796000000000002,90.7184,1/5/94
Claude Giroux,RW,OTT,28,1.8034,86.18248,1/12/88
Cody Glass,C,NAS,8,1.9050000000000002,93.439952,4/1/99
Luke Glendening,C,TB,11,1.8034,86.18248,4/28/89
Alex Goligoski,D,MIN,33,1.8034,78.471416,7/30/85
Barclay Goodrow,RW,NYR,21,1.8796000000000002,94.80072799999999,2/26/93
Shayne Gostisbehere,D,DET,41,1.8034,81.64656,4/20/93
Yanni Gourde,C,SEA,37,1.7526,78.925008,12/15/91
Mikael Granlund,RW,SJ,64,1.778,83.91452,2/26/92
Ryan Graves,D,PIT,27,1.9558000000000002,99.79024,5/21/95
Jordan Greenway,LW,BUF,12,1.9812000000000003,104.779752,2/16/97
A.J. Greer,LW,CAL,18,1.9050000000000002,94.347136,12/14/96
Noah Gregor,C,TOR,18,1.8288000000000002,86.18248,7/28/98
Ridly Greig,C,OTT,71,1.8288000000000002,83.007336,8/8/02
Bo Groulx,C,ANA,24,1.8796000000000002,89.811216,2/6/00
Philipp Grubauer,G,SEA,31,1.8542000000000003,85.275296,11/25/91
Carl Grundstrom,RW,LA,91,1.8288000000000002,88.45044,12/1/97
Matt Grzelcyk,D,BOS,48,1.778,79.83219199999999,1/5/94
Radko Gudas,D,ANA,7,1.8288000000000002,94.347136,6/5/90
Erik Gudbranson,D,CLB,44,1.9558000000000002,100.697424,1/7/92
Jake Guentzel,LW,PIT,59,1.8034,81.64656,10/6/94
Kaiden Guhle,D,MON,21,1.8796000000000002,91.171992,1/18/02
David Gustafsson,C,WIN,19,1.8796000000000002,96.161504,4/11/00
Erik Gustafsson,D,NYR,56,1.8288000000000002,85.728888,3/14/92
Filip Gustavsson,G,MIN,32,1.8796000000000002,83.460928,6/7/98
Brandon Hagel,LW,TB,38,1.8796000000000002,83.007336,8/27/98
Robert Hagg,D,ANA,18,1.8542000000000003,95.25431999999999,2/8/95
Nicolas Hague,D,VEG,14,1.9812000000000003,108.86207999999999,12/5/98
Jani Hakanpaa,D,DAL,2,1.9812000000000003,100.697424,3/31/92
Taylor Hall,LW,CHI,71,1.8542000000000003,95.25431999999999,11/14/91
Hardy Haman Aktell,D,WAS,4,1.9050000000000002,89.811216,7/4/98
Dougie Hamilton,D,NJ,7,1.9812000000000003,104.32616,6/17/93
Travis Hamonic,D,OTT,23,1.8542000000000003,90.7184,8/16/90
Noah Hanifin,D,CAL,55,1.9050000000000002,93.893544,1/25/97
Joel Hanley,D,DAL,44,1.8034,84.368112,6/8/91
Thomas Harley,D,DAL,55,1.9050000000000002,93.439952,8/19/01
Jordan Harris,D,MON,54,1.8034,85.728888,7/7/00
Carter Hart,G,PHI,79,1.8796000000000002,82.100152,8/13/98
Ryan Hartman,RW,MIN,38,1.8288000000000002,89.357624,9/20/94
Rafael Harvey-Pinard,LW,MON,49,1.7526,83.460928,1/6/99
Garnet Hathaway,RW,PHI,19,1.9050000000000002,94.347136,11/23/91
Erik Haula,LW,NJ,56,1.8034,86.636072,3/23/91
Kevin Hayes,RW,STL,12,1.9558000000000002,97.975872,5/8/92
Barrett Hayton,C,ARI,29,1.8542000000000003,93.893544,6/9/00
Victor Hedman,D,TB,77,2.0066,110.676448,12/18/90
Ville Heinola,D,WIN,14,1.8034,83.91452,3/2/01
Miro Heiskanen,D,DAL,4,1.8542000000000003,89.357624,7/18/99
Magnus Hellberg,G,PIT,45,1.9812000000000003,99.79024,4/4/91
Connor Hellebuyck,G,WIN,37,1.9304000000000001,97.975872,5/19/93
Adam Henrique,C,ANA,14,1.8288000000000002,88.45044,2/6/90
Tomas Hertl,C,SJ,48,1.9050000000000002,97.52228,11/12/93
Adin Hill,G,VEG,33,1.9304000000000001,97.52228,5/11/96
Vinnie Hinostroza,LW,PIT,13,1.778,83.007336,4/3/94
Roope Hintz,LW,DAL,24,1.9050000000000002,96.161504,11/17/96
Nico Hischier,C,NJ,13,1.8542000000000003,79.3786,1/4/99
Joel Hofer,G,STL,30,1.9558000000000002,81.192968,7/30/00
Mike Hoffman,LW,SJ,68,1.8288000000000002,86.18248,11/24/89
Nils Hoglander,LW,VAN,21,1.7526,83.91452,12/20/00
Justin Holl,D,DET,3,1.9050000000000002,89.357624,1/30/92
Dylan Holloway,LW,EDM,55,1.8542000000000003,93.439952,9/23/01
Pontus Holmberg,RW,TOR,29,1.8288000000000002,85.275296,3/9/99
Simon Holmstrom,RW,NYI,10,1.8796000000000002,97.52228,5/24/01
Alexander Holtz,RW,NJ,10,1.8288000000000002,88.45044,1/23/02
Bo Horvat,C,NYI,14,1.8288000000000002,96.615096,4/5/95
Brett Howden,C,VEG,21,1.8796000000000002,90.7184,3/29/98
Filip Hronek,D,VAN,17,1.8288000000000002,86.18248,11/2/97
Jonathan Huberdeau,LW,CAL,10,1.8542000000000003,90.7184,6/4/93
Jack Hughes,C,NJ,86,1.8034,79.3786,5/14/01
Luke Hughes,D,NJ,43,1.8796000000000002,83.460928,9/9/03
Quinn Hughes,D,VAN,43,1.778,81.64656,10/14/99
Daemon Hunt,D,MIN,48,1.8542000000000003,91.171992,5/15/02
Dryden Hunt,LW,CAL,15,1.8288000000000002,87.543256,11/24/95
Ville Husso,G,DET,35,1.9050000000000002,90.7184,2/6/95
Ben Hutton,D,VEG,17,1.9050000000000002,91.171992,4/20/93
Zach Hyman,LW,EDM,18,1.8542000000000003,93.439952,6/9/92
Alex Iafallo,LW,WIN,9,1.8288000000000002,90.7184,12/21/93
Connor Ingram,G,ARI,39,1.8796000000000002,88.904032,3/31/97
Mattias Janmark,C,EDM,13,1.8542000000000003,92.98636,12/8/92
Calle Jarnkrok,C,TOR,19,1.8288000000000002,86.18248,9/25/91
Tristan Jarry,G,PIT,35,1.8796000000000002,87.996848,4/29/95
Seth Jarvis,C,CAR,24,1.778,79.3786,2/1/02
Tanner Jeannot,LW,TB,84,1.8796000000000002,94.347136,5/29/97
Boone Jenner,C,CLB,38,1.8796000000000002,92.079176,6/15/93
Nick Jensen,D,WAS,3,1.8542000000000003,92.98636,9/21/90
David Jiricek,D,CLB,55,1.9304000000000001,90.264808,11/28/03
Lucas Johansen,D,WAS,46,1.8796000000000002,79.83219199999999,11/16/97
Ryan Johansen,C,COL,12,1.9050000000000002,98.883056,7/31/92
Jonas Johansson,G,TB,31,1.9558000000000002,99.79024,9/19/95
Marcus Johansson,LW,MIN,90,1.8542000000000003,92.079176,10/6/90
Erik Johnson,D,BUF,6,1.9304000000000001,102.0582,3/21/88
Jack Johnson,D,COL,3,1.8542000000000003,102.965384,1/13/87
Kent Johnson,C,CLB,91,1.8288000000000002,79.3786,10/18/02
Reese Johnson,C,CHI,52,1.8542000000000003,87.543256,7/10/98
Tyler Johnson,C,CHI,90,1.7272,83.91452,7/29/90
Ross Johnston,LW,ANA,44,1.9558000000000002,106.140528,2/18/94
Wyatt Johnston,C,DAL,53,1.8542000000000003,83.460928,5/14/03
Henri Jokiharju,D,BUF,10,1.8288000000000002,90.7184,6/17/99
Max Jones,LW,ANA,49,1.9050000000000002,97.975872,2/17/98
Seth Jones,D,CHI,4,1.9304000000000001,96.615096,10/3/94
Zac Jones,D,NYR,6,1.778,79.83219199999999,10/18/00
Mathieu Joseph,RW,OTT,21,1.8542000000000003,84.821704,2/9/97
Pierre-Olivier Joseph,D,PIT,73,1.8796000000000002,83.91452,7/1/99
Dakota Joshua,C,VAN,81,1.9050000000000002,93.439952,5/15/96
Roman Josi,D,NAS,59,1.8542000000000003,91.171992,6/1/90
Tyson Jost,C,BUF,17,1.8034,84.821704,3/14/98
Noah Juulsen,D,VAN,47,1.8796000000000002,91.171992,4/2/97
Nazem Kadri,C,CAL,91,1.8288000000000002,83.91452,10/6/90
Kaapo Kahkonen,G,SJ,36,1.8796000000000002,98.429464,8/16/96
Wyatt Kaiser,D,CHI,44,1.8288000000000002,78.471416,7/31/02
Kaapo Kakko,RW,NYR,24,1.8796000000000002,92.98636,2/13/01
Arthur Kaliyev,RW,LA,34,1.8796000000000002,95.25431999999999,6/26/01
David Kampf,C,TOR,64,1.8796000000000002,86.18248,1/12/95
Evander Kane,LW,EDM,91,1.8796000000000002,98.883056,8/2/91
Kasperi Kapanen,RW,STL,42,1.8542000000000003,87.996848,7/23/96
Kirill Kaprizov,LW,MIN,97,1.778,91.625584,4/26/97
Erik Karlsson,D,PIT,65,1.8288000000000002,86.18248,5/31/90
William Karlsson,C,VEG,71,1.8288000000000002,86.18248,1/8/93
Tye Kartye,LW,SEA,52,1.8034,91.625584,4/30/01
Mark Kastelic,C,OTT,12,1.9050000000000002,105.686936,3/11/99
Boris Katchouk,LW,CHI,14,1.8796000000000002,93.439952,6/18/98
Clayton Keller,RW,ARI,9,1.778,80.739376,7/29/98
Parker Kelly,LW,OTT,27,1.8288000000000002,86.18248,5/14/99
Adrian Kempe,RW,LA,9,1.8796000000000002,90.7184,9/13/96
Alex Kerfoot,C,ARI,15,1.8034,84.368112,8/11/94
Jujhar Khaira,LW,MIN,16,1.9304000000000001,96.161504,8/13/94
Alex Killorn,LW,ANA,17,1.8542000000000003,87.996848,9/14/89
John Klingberg,D,TOR,3,1.8796000000000002,83.91452,8/14/92
Matthew Knies,LW,TOR,23,1.9050000000000002,98.429464,10/17/02
Nikolai Knyzhov,D,SJ,71,1.9050000000000002,100.697424,3/20/98
Keegan Kolesar,RW,VEG,55,1.8796000000000002,97.975872,4/8/97
Travis Konecny,RW,PHI,11,1.778,79.3786,3/11/97
Anze Kopitar,C,LA,11,1.9050000000000002,102.0582,8/24/87
Kevin Korchinski,D,CHI,55,1.8542000000000003,83.91452,6/21/04
Kaedan Korczak,D,VEG,6,1.9050000000000002,91.171992,1/29/01
Joonas Korpisalo,G,OTT,70,1.9050000000000002,87.543256,4/28/94
Klim Kostin,C,DET,24,1.9050000000000002,97.52228,5/5/99
Jesperi Kotkaniemi,C,CAR,82,1.8796000000000002,91.171992,7/6/00
Johnathan Kovacevic,D,MON,26,1.9304000000000001,101.151016,7/12/97
Peyton Krebs,C,BUF,19,1.8288000000000002,84.821704,1/26/01
Chris Kreider,LW,NYR,20,1.9050000000000002,105.686936,4/30/91
